appid,name,year,developer,platforms,num_ratings,positive_rate,multi_player,single_player,genre,theme,special
3500,Mystery P.I.™ - The Lottery Ticket,2007,SpinTop Games,windows,13,0.769230769,0,1,['7'],['5'],
3510,Amazing Adventures The Lost Tomb™,2007,SpinTop Games,windows,29,0.724137931,0,1,['7'],"['0', '5']",
3520,Mystery P.I.™ - The Vegas Heist,2008,SpinTop Games,windows,16,0.6875,0,1,['7'],['5'],
3530,Amazing Adventures Around the World,2009,SpinTop Games,windows,30,0.766666667,0,1,['7'],"['0', '5']",
3540,Peggle™ Nights,2008,"PopCap Games, Inc.",windows;mac,392,0.93877551,0,1,['7'],['0'],
3560,Bejeweled Twist,2008,"PopCap Games, Inc.",windows,116,0.844827586,0,1,"['1', '7']",,
3570,Mystery P.I.™ - The New York Fortune,2009,SpinTop Games,windows,13,0.615384615,0,1,['7'],['5'],
3580,The Wizard's Pen™,2009,"PopCap Games, Inc.",windows,18,0.833333333,0,1,['7'],['5'],
3590,Plants vs. Zombies GOTY Edition,2009,"PopCap Games, Inc.",windows;mac,15084,0.969901883,0,1,['1'],"['17', '20']",
3600,Escape Rosecliff Island,2009,SpinTop Games,windows;mac,154,0.62987013,0,1,['7'],"['0', '5']",
3610,Mystery P.I. - Lost in Los Angeles,2009,SpinTop Games,windows,11,0.727272727,0,1,['7'],['5'],
3620,Zuma's Revenge!,2009,"PopCap Games, Inc.",windows,463,0.939524838,0,1,"['0', '7']",,
3700,Sniper Elite,2009,Rebellion,windows,1558,0.758023107,0,1,['0'],,
3710,Judge Dredd: Dredd vs. Death,2009,Rebellion,windows,638,0.876175549,1,1,['0'],['6'],['2']
3720,Evil Genius,2009,Elixir Studios,windows,1942,0.951081359,0,1,['1'],,
3730,Aliens versus Predator Classic 2000,2010,Rebellion,windows,1653,0.867513612,1,1,['0'],"['6', '16']",
3800,Advent Rising,2006,GlyphX Games,windows,331,0.785498489,0,1,['0'],"['21', '22']",
3810,BloodRayne,2006,Terminal Reality,windows,479,0.770354906,0,1,['0'],['13'],
3820,BloodRayne 2,2006,Terminal Reality,windows,362,0.715469613,0,1,['0'],['13'],
3830,Psychonauts,2006,Double Fine Productions,windows;mac;linux,8660,0.947344111,0,1,['0'],,['4']
3900,Sid Meier's Civilization® IV,2006,Firaxis Games,windows;mac,1523,0.915298752,1,1,['1'],['18'],
3910,Sid Meier's Civilization® III Complete,2006,Firaxis Games,windows,2983,0.86423064,1,1,['1'],['18'],
3920,Sid Meier's Pirates!,2005,Firaxis Games,windows,2834,0.931898377,0,1,['4'],['9'],
3960,Shattered Union,2006,PopTop,windows,88,0.443181818,1,1,['1'],['18'],
3980,CivCity: Rome,2007,FireFly Studios;Firaxis Games,windows,249,0.738955823,0,1,['1'],,
3990,Civilization IV®: Warlords,2007,Firaxis Games,windows;mac,141,0.858156028,0,1,['1'],['18'],
4000,Garry's Mod,2006,Facepunch Studios,windows;mac;linux,380154,0.956772782,1,1,"['3', '8']",,"['2', '4', '8']"
4100,Poker Superstars II,2006,Funkitron,windows,9,0.444444444,0,1,"['1', '3', '7']",['19'],
4230,RACE - The WTCC Game,2006,SimBin,windows,162,0.734567901,1,1,['9'],,
4290,RACE: Caterham Expansion,2007,SimBin,windows,6,0.666666667,1,1,['9'],,
4300,RoboBlitz,2006,Naked Sky Entertainment,windows,57,0.754385965,0,1,"['0', '3']",['0'],
4420,Silverfall,2007,Monte Cristo,windows,93,0.612903226,0,1,['4'],,
4460,City Life 2008,2008,Monte Cristo,windows,118,0.652542373,0,1,"['1', '8']",,
4470,Silverfall: Earth Awakening,2008,Monte Cristo,windows,48,0.645833333,1,1,['4'],,
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,2007,GSC Game World,windows,11609,0.950900164,1,1,"['0', '4']",['9'],
